timestamp_us,sensor_1,sensor_2
1208759880,0,0
1208760076,0,0
1208760275,0,0
1196852667,0,0
1196852867,0,0
1196853067,0,0
1196853267,0,0
1196853467,0,0
1196853667,0,0
1196853867,0,0
1196854067,0,0
1196854267,0,0
1196854467,0,0
1196854667,0,0
1196854867,0,0
1196855067,0,0
1196855267,0,0
1196855467,0,0
1196855667,0,0
1196855867,0,0
1196856067,0,0
1196856267,0,0
1196856467,0,0
1196856667,0,0
1196856867,0,0
1196857067,0,0
1196857267,0,0
1196857467,0,0
1196857667,0,0
1196857867,0,0
1196858067,0,0
1196858267,0,0
1196858467,0,0
1196858667,0,0
1196858867,0,0
1196859067,0,0
1196859267,0,0
1196859467,0,0
1196859667,0,0
1196859867,0,0
1196860067,0,0
1196860267,0,0
1196860467,0,0
1196860667,0,0
1196860867,0,0
1196861067,0,0
1196861267,0,0
1196861467,0,0
1196861667,0,0
1196861867,0,0
1196862067,0,0
1196862267,0,0
1196862467,0,0
1196862667,0,0
1196862867,0,0
1196863067,0,0
1196863267,0,0
1196863467,0,0
1196863667,0,0
1196863867,0,0
1196864067,0,0
1196864267,0,0
1196864467,0,0
1196864667,0,0
1196864867,0,0
1196865067,0,0
1196865267,0,0
1196865467,0,0
1196865667,0,0
1196865867,0,0
1196866067,0,0
1196866267,0,0
1196866467,0,0
1196866667,0,0
1196866867,0,0
1196867067,0,0
1196867267,0,0
1196867467,0,0
1196867667,0,0
1196867867,0,0
1196868067,0,0
1196868267,0,0
1196868467,0,0
1196868667,0,0
1196868867,0,0
1196869067,0,0
1196869267,0,0
1196869467,0,0
1196869667,0,0
1196869867,0,0
1196870067,0,0
1196870267,0,0
1196870467,0,0
1196870667,0,0
1196870867,0,0
1196871067,0,0
1196871267,0,0
1196871467,0,0
1196871667,0,0
1196871867,0,0
1196872067,0,0
1196872267,0,0
1196872467,0,0
1196872667,0,0
1196872867,0,0
1196873067,0,0
1196873267,0,0
1196873467,0,0
1196873667,0,0
1196873867,0,0
1196874067,0,0
1196874267,0,0
1196874467,0,0
1196874667,0,0
1196874867,0,0
1196875067,0,0
1196875267,0,0
1196875467,0,0
1196875667,0,0
1196875867,0,0
1196876067,0,0
1196876267,0,0
1196876467,0,0
1196876667,0,0
1196876867,0,0
1196877067,0,0
1196877267,0,0
1196877467,0,0
1196877667,0,0
1196877867,0,0
1196878067,0,0
1196878267,0,0
1196878467,0,0
1196878667,0,0
1196878867,0,0
1196879067,0,0
1196879267,0,0
1196879467,0,0
1196879667,0,0
1196879867,0,0
1196880067,0,0
1196880267,0,0
1196880467,0,0
1196880667,0,0
1196880867,0,0
1196881067,0,0
1196881267,0,0
1196881467,0,0
1196881667,0,0
1196881867,0,0
1196882067,0,0
1196882267,0,0
1196882467,0,0
1196882667,0,0
1196882867,0,0
1196883067,0,0
1196883267,0,0
1196883467,0,0
1196883667,0,0
1196883867,0,0
1196884067,0,0
1196884267,0,0
1196884467,0,0
1196884667,0,0
1196884867,0,0
1196885067,0,0
1196885267,0,0
1196885467,0,0
1196885667,0,0
1196885867,0,0
1196886067,0,0
1196886267,0,0
1196886467,0,0
